Datetime,Open,High,Low,Close,Volume
2026-02-18 09:30:00-05:00,410.6700134277344,412.0299987792969,409.75,411.8349914550781,785390
2026-02-18 09:31:00-05:00,411.70001220703125,413.510009765625,411.1700134277344,413.385009765625,224222
2026-02-18 09:32:00-05:00,413.45001220703125,413.5299987792969,410.0382080078125,411.1531982421875,225880
2026-02-18 09:33:00-05:00,411.1401062011719,414.0971984863281,411.1401062011719,412.82000732421875,267957
2026-02-18 09:34:00-05:00,412.75,412.8699951171875,410.8800048828125,411.1098937988281,159230
2026-02-18 09:35:00-05:00,411.0400085449219,411.92999267578125,410.67999267578125,411.05499267578125,114147
2026-02-18 09:36:00-05:00,411.05499267578125,411.57000732421875,410.3999938964844,410.7499084472656,135072
2026-02-18 09:37:00-05:00,410.7200012207031,411.32989501953125,410.1499938964844,410.5050964355469,129128
2026-02-18 09:38:00-05:00,410.6288146972656,412.2200012207031,410.3599853515625,411.7571105957031,174685
2026-02-18 09:39:00-05:00,411.7900085449219,411.96258544921875,409.8599853515625,410.2699890136719,168200
2026-02-18 09:40:00-05:00,410.2781982421875,411.30999755859375,409.5799865722656,410.69000244140625,183157
2026-02-18 09:41:00-05:00,410.6099853515625,411.6400146484375,410.20001220703125,411.2300109863281,176482
2026-02-18 09:42:00-05:00,411.2300109863281,412.1199951171875,410.70001220703125,411.75,140501
2026-02-18 09:43:00-05:00,411.6400146484375,412.26959228515625,411.5,411.9800109863281,127928
2026-02-18 09:44:00-05:00,411.79998779296875,411.9200134277344,410.6199951171875,411.29998779296875,142146
2026-02-18 09:45:00-05:00,411.29998779296875,412.81988525390625,411.2076110839844,412.5140075683594,184535
2026-02-18 09:46:00-05:00,412.6199951171875,412.9700012207031,411.7300109863281,411.94000244140625,135752
2026-02-18 09:47:00-05:00,412.0,412.3900146484375,411.6099853515625,412.1099853515625,125198
2026-02-18 09:48:00-05:00,412.1050109863281,412.1698913574219,410.6600036621094,411.4200134277344,153055
2026-02-18 09:49:00-05:00,411.4649963378906,411.56988525390625,410.2799987792969,410.3500061035156,134198
2026-02-18 09:50:00-05:00,410.3357849121094,411.0357971191406,410.2799987792969,410.45001220703125,111588
2026-02-18 09:51:00-05:00,410.45001220703125,410.70001220703125,410.1300048828125,410.6300048828125,121992
2026-02-18 09:52:00-05:00,410.6376037597656,411.7699890136719,410.44000244140625,411.2076110839844,142736
2026-02-18 09:53:00-05:00,411.17999267578125,411.20001220703125,410.3999938964844,410.79998779296875,63331
2026-02-18 09:54:00-05:00,410.760009765625,411.79998779296875,410.4715881347656,411.5400085449219,125466
2026-02-18 09:55:00-05:00,411.42010498046875,411.639892578125,411.20001220703125,411.2799987792969,83235
2026-02-18 09:56:00-05:00,411.2676086425781,411.9200134277344,411.2099914550781,411.70001220703125,90328
2026-02-18 09:57:00-05:00,411.760009765625,412.489990234375,411.7449951171875,412.30999755859375,147274
