Datetime,Open,High,Low,Close,Volume
2026-02-18 09:30:00-05:00,504.739990234375,505.1700134277344,504.739990234375,505.1700134277344,27986
2026-02-18 09:31:00-05:00,504.2149963378906,505.2699890136719,503.7699890136719,504.239990234375,68345
2026-02-18 09:32:00-05:00,504.69000244140625,504.739990234375,503.0,503.135009765625,13345
2026-02-18 09:33:00-05:00,503.52398681640625,504.0,503.0,503.9700012207031,3910
2026-02-18 09:34:00-05:00,504.5169982910156,504.5169982910156,503.45001220703125,503.7225036621094,3864
2026-02-18 09:35:00-05:00,503.70001220703125,504.54998779296875,503.1000061035156,503.32000732421875,8421
2026-02-18 09:36:00-05:00,503.32501220703125,504.49200439453125,503.32000732421875,504.25,5843
2026-02-18 09:37:00-05:00,504.1199951171875,504.32000732421875,503.6099853515625,504.06500244140625,6499
2026-02-18 09:38:00-05:00,504.1549987792969,504.15869140625,503.3999938964844,503.3999938964844,7689
2026-02-18 09:39:00-05:00,503.6000061035156,504.5400085449219,503.44000244140625,504.0400085449219,7530
2026-02-18 09:40:00-05:00,504.114013671875,504.32501220703125,503.70001220703125,503.8299865722656,3484
2026-02-18 09:41:00-05:00,504.0,504.1199951171875,503.70001220703125,504.1199951171875,4055
2026-02-18 09:42:00-05:00,504.0199890136719,504.0199890136719,503.41009521484375,503.6000061035156,3708
2026-02-18 09:43:00-05:00,503.5,503.510009765625,503.073486328125,503.1400146484375,4076
2026-02-18 09:44:00-05:00,503.0799865722656,503.42498779296875,503.0799865722656,503.3699951171875,6733
2026-02-18 09:45:00-05:00,503.1000061035156,503.1000061035156,501.32000732421875,501.32000732421875,22489
2026-02-18 09:46:00-05:00,501.32000732421875,501.9599914550781,501.0400085449219,501.9599914550781,14260
2026-02-18 09:47:00-05:00,501.8299865722656,502.0299987792969,501.6000061035156,501.6549987792969,4938
2026-02-18 09:48:00-05:00,501.6000061035156,501.6841125488281,501.2799987792969,501.44000244140625,4111
2026-02-18 09:49:00-05:00,501.5,501.5,501.05999755859375,501.2250061035156,4470
2026-02-18 09:50:00-05:00,501.1000061035156,501.1400146484375,500.5,500.5299987792969,12541
2026-02-18 09:51:00-05:00,500.510009765625,500.7898864746094,500.2925109863281,500.4200134277344,5128
2026-02-18 09:52:00-05:00,500.4283142089844,500.7398986816406,500.30999755859375,500.6933898925781,2073
2026-02-18 09:53:00-05:00,500.55999755859375,500.76708984375,500.32000732421875,500.32000732421875,4497
2026-02-18 09:54:00-05:00,500.3399963378906,500.4750061035156,500.17999267578125,500.2449951171875,3474
2026-02-18 09:55:00-05:00,500.1700134277344,500.7200012207031,499.8999938964844,500.7200012207031,14352
2026-02-18 09:56:00-05:00,500.8500061035156,500.9100036621094,500.4100036621094,500.4150085449219,4386
2026-02-18 09:57:00-05:00,500.3399963378906,500.5050048828125,500.1700134277344,500.3800048828125,8771
2026-02-18 09:58:00-05:00,500.45001220703125,500.4800109863281,499.80010986328125,499.9949951171875,16005
2026-02-18 09:59:00-05:00,499.8800048828125,500.54998779296875,499.8800048828125,500.32000732421875,8222
2026-02-18 10:00:00-05:00,500.385009765625,500.7398986816406,500.239990234375,500.4599914550781,9626
2026-02-18 10:01:00-05:00,500.5116882324219,501.19500732421875,500.5116882324219,500.9200134277344,11058
2026-02-18 10:02:00-05:00,500.9200134277344,501.2200012207031,500.739990234375,500.739990234375,9356
2026-02-18 10:03:00-05:00,500.760009765625,501.0799865722656,500.6449890136719,500.6449890136719,6551
2026-02-18 10:04:00-05:00,500.6499938964844,500.9100036621094,500.5199890136719,500.7049865722656,8372
2026-02-18 10:05:00-05:00,500.7049865722656,500.8340148925781,500.5199890136719,500.6499938964844,4969
2026-02-18 10:06:00-05:00,500.7200012207031,500.9898986816406,500.5,500.5,4735
2026-02-18 10:07:00-05:00,500.5,500.760009765625,500.2699890136719,500.5299987792969,6145
2026-02-18 10:08:00-05:00,500.7554016113281,500.7554016113281,500.1600036621094,500.510009765625,7837
2026-02-18 10:09:00-05:00,500.4849853515625,500.7499084472656,500.0,500.07000732421875,14842
2026-02-18 10:10:00-05:00,500.2850036621094,500.409912109375,500.1000061035156,500.239990234375,6029
2026-02-18 10:11:00-05:00,500.3099060058594,500.3099060058594,499.6000061035156,499.79998779296875,11561
2026-02-18 10:12:00-05:00,499.95001220703125,500.1600036621094,499.70001220703125,499.8999938964844,6881
2026-02-18 10:13:00-05:00,499.8659973144531,500.0150146484375,499.6099853515625,500.0150146484375,4555
2026-02-18 10:14:00-05:00,499.8623046875,500.5,499.8623046875,500.4700012207031,6941
2026-02-18 10:15:00-05:00,500.4200134277344,500.760009765625,500.30010986328125,500.38861083984375,8028
2026-02-18 10:16:00-05:00,500.54998779296875,500.89990234375,500.54998779296875,500.58319091796875,6523
2026-02-18 10:17:00-05:00,500.70001220703125,500.8999938964844,500.6000061035156,500.7099914550781,10988
2026-02-18 10:18:00-05:00,500.7449951171875,501.2950134277344,500.739990234375,501.2149963378906,7761
2026-02-18 10:19:00-05:00,501.20001220703125,501.3299865722656,500.9800109863281,501.1449890136719,7850
2026-02-18 10:20:00-05:00,501.2900085449219,501.322998046875,500.9800109863281,501.072509765625,9864
2026-02-18 10:21:00-05:00,501.07501220703125,501.2200012207031,500.885009765625,501.17999267578125,5126
2026-02-18 10:22:00-05:00,501.1600036621094,501.4200134277344,501.1000061035156,501.4200134277344,6394
2026-02-18 10:23:00-05:00,501.5,501.6300048828125,501.2900085449219,501.3999938964844,5456
2026-02-18 10:24:00-05:00,501.29998779296875,501.4034118652344,501.0,501.0450134277344,11836
2026-02-18 10:25:00-05:00,501.06500244140625,501.2850036621094,500.7825012207031,500.7825012207031,7161
2026-02-18 10:26:00-05:00,500.9100036621094,501.29998779296875,500.8599853515625,501.2900085449219,6827
2026-02-18 10:27:00-05:00,501.3299865722656,501.33209228515625,501.0950012207031,501.2049865722656,4170
2026-02-18 10:28:00-05:00,501.1099853515625,501.30499267578125,501.1099853515625,501.30499267578125,6467
2026-02-18 10:29:00-05:00,501.32000732421875,501.55999755859375,501.32000732421875,501.3900146484375,5561
2026-02-18 10:30:00-05:00,501.3999938964844,501.6300048828125,501.3999938964844,501.3999938964844,8647
2026-02-18 10:31:00-05:00,501.5199890136719,501.7699890136719,501.5,501.5199890136719,6669
2026-02-18 10:32:00-05:00,501.5899963378906,502.29339599609375,501.57000732421875,502.29339599609375,6832
2026-02-18 10:33:00-05:00,502.07000732421875,502.3399963378906,501.9599914550781,502.1000061035156,6281
2026-02-18 10:34:00-05:00,502.1000061035156,502.20001220703125,501.8695068359375,501.8695068359375,11530
2026-02-18 10:35:00-05:00,502.0299987792969,502.17999267578125,501.510009765625,501.57000732421875,6721
2026-02-18 10:36:00-05:00,501.57000732421875,501.70001220703125,501.4400939941406,501.54998779296875,6387
2026-02-18 10:37:00-05:00,501.5249938964844,502.19000244140625,501.5249938964844,502.19000244140625,5500
2026-02-18 10:38:00-05:00,502.0686950683594,502.1022033691406,501.6400146484375,501.7734069824219,2640
2026-02-18 10:39:00-05:00,501.6199951171875,501.92999267578125,501.5101013183594,501.79998779296875,3618
2026-02-18 10:40:00-05:00,501.760009765625,501.8500061035156,501.40008544921875,501.5849914550781,6481
2026-02-18 10:41:00-05:00,501.44000244140625,501.7499084472656,501.44000244140625,501.6650085449219,3910
2026-02-18 10:42:00-05:00,501.7419128417969,502.0199890136719,501.5799865722656,502.0199890136719,8681
2026-02-18 10:43:00-05:00,502.0199890136719,502.1899108886719,501.90301513671875,502.0299987792969,4451
2026-02-18 10:44:00-05:00,502.07000732421875,502.46600341796875,501.6199951171875,502.244384765625,14382
2026-02-18 10:45:00-05:00,501.8999938964844,502.1499938964844,501.79998779296875,501.82000732421875,5466
2026-02-18 10:46:00-05:00,501.739990234375,501.94989013671875,501.3200988769531,501.56500244140625,2565
2026-02-18 10:47:00-05:00,501.56500244140625,501.6300048828125,501.32000732421875,501.4259948730469,4614
2026-02-18 10:48:00-05:00,501.30999755859375,501.55999755859375,501.19000244140625,501.489990234375,5445
2026-02-18 10:49:00-05:00,501.4700012207031,501.5398864746094,501.3699951171875,501.4700012207031,3340
2026-02-18 10:50:00-05:00,501.4700012207031,501.6700134277344,501.3699951171875,501.56500244140625,4589
2026-02-18 10:51:00-05:00,501.5400085449219,501.67999267578125,501.1499938964844,501.2749938964844,11448
